Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Esparraguera - Cra. Malilla;191;T;5;9;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.37886641388495107, 39.45032925434954], ""type"": ""Point""}";39.45032925434954, -0.37886641388495107;2024-11-13T19:32:57+01:00
Cra. Malilla - Oltá;192;T;11;9;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3787144113919625, 39.45263726161547], ""type"": ""Point""}";39.45263726161547, -0.3787144113919625;2024-11-13T19:39:13+01:00
Uruguay - Carteros;193;T;8;11;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.386718436578698, 39.45514627443484], ""type"": ""Point""}";39.45514627443484, -0.386718436578698;2024-11-13T19:34:46+01:00
Giorgeta - Roig de Corella;195;T;12;3;16;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3842814248129742, 39.459384287208486], ""type"": ""Point""}";39.459384287208486, -0.3842814248129742;2024-11-13T19:37:02+01:00
Jerónimo Muñoz - Gaspar Aguilar;196;T;9;6;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3880664379854734, 39.45957528956863], ""type"": ""Point""}";39.45957528956863, -0.3880664379854734;2024-11-13T19:38:12+01:00
Fontanars dels Aforins - Jacinto Labaila;197;T;10;5;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39233345436447337, 39.458184286737165], ""type"": ""Point""}";39.458184286737165, -0.39233345436447337;2024-11-13T19:38:36+01:00
Fontanars dels Aforins - Vall d'Uixó;198;T;1;19;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.395316462028443, 39.46088029740053], ""type"": ""Point""}";39.46088029740053, -0.395316462028443;2024-11-13T19:29:24+01:00
Periodista Gil Sumbiela - Poeta Serrano Clavero;206;T;1;14;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38900741524280136, 39.49271239990425], ""type"": ""Point""}";39.49271239990425, -0.38900741524280136;2024-11-13T19:38:14+01:00
Giorgeta, 64;207;T;6;8;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.381905420300487, 39.45539327294658], ""type"": ""Point""}";39.45539327294658, -0.381905420300487;2024-11-13T19:38:44+01:00
Santa Cruz de Tenerife, 21;214;T;1;14;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.4005764763988502, 39.464932313028335], ""type"": ""Point""}";39.464932313028335, -0.4005764763988502;2024-11-13T19:36:18+01:00
Músico Ayllón - Francisco Dolz;215;T;12;3;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39674846254882856, 39.46567131414367], ""type"": ""Point""}";39.46567131414367, -0.39674846254882856;2024-11-13T19:36:24+01:00
